scenario,confluence,name,netcdf_name,id,parametertype,dimensions,valueencoding,codeset,unitofmeasure,fillvalue,displayname,precision,visible,parameterfunctionid,parameterfunctionmap,qcfunctions,standardname,dataproductidentifier,description,longname,dataproducttype,datalevel
TO-DO,,optical_absorption,optical_absorption,PD20,function,"[""wavelength""]",float32,,m-1,-9999999,Optical Absorption Coefficient,6,,PFID52,"{""aref"":""PD596"",""asig"":""PD598"",""traw"":""PD590"",""awl"":""CC_awlngth"",""aoff"":""CC_acwo"",""tcal"":""CC_tcal"",""tbins"":""CC_tbins"",""ta_arr"":""CC_taarray"",""cpd_ts"":""dpi_OPTATTN_L2"",""cwl"":""CC_cwlngth"",""T"":[""dpi_TEMPWAT_L1"",""dpi_TEMPSRF_L1""],""PS"":[""dpi_PRACSAL_L2"",""dpi_SALSURF_L2""]}",OPTABSN,,OPTABSN_L2,Optical Absorption Coefficient is the rate that the intensity of a beam of light will decrease in response to the absorption (removal) of light energy as a function of propagation distance. The Optical Absorption Coefficient reflects the absorption coefficient for the combination of all seawater impurities including all particulate and dissolved matter of optical importance.,Optical Absorption Coefficient,Science Data,L2
TO-DO,,seawater_scattering_coefficient,seawater_scattering_coefficient,PD21,function,,float32,,m-1,-9999999,Total Scattering Coefficient of Pure Seawater,4,,PFID97,"{""degC"":[""dpi_TEMPWAT_L1"",""dpi_TEMPSRF_L1""], ""psu"":[""dpi_PRACSAL_L2"",""dpi_SALSURF_L2""], ""theta"":""CC_scattering_angle"", ""wlngth"":""CC_measurement_wavelength"", ""delta"":""CC_depolarization_ratio""}",,,,Total scattering coefficient of pure seawater.,,Science Data,L2
TO-DO,,fluorometric_chlorophyll_a,fluorometric_chlorophyll_a,PD22,function,,float32,,ug L-1,-9999999,Chlorophyll-a Concentration,6,,PFID80,"{""counts_output"":""dpi_CHLAFLO_L0"",""counts_dark"":""CC_dark_counts_chlorophyll_a"",""scale_factor"":""CC_scale_factor_chlorophyll_a""}",,mass_concentration_of_chlorophyll_a_in_sea_water,CHLAFLO_L1,Fluorometric Chlorophyll-a Concentration is an estimate of phytoplankton biomass using fluorescence. The fluorometer emits light at a specific wavelength that is absorbed by chlorophyll and re-emitted as light at a different wavelength. By measuring the intensity of the re-emitted wavelength of light the chlorophyll-a concentration in the surrounding seawater can be estimated. Chlorophyll-a concentrations can be used as a proxy for phytoplankton biomass as it is a dominant photosynthetic pigment.,Fluorometric Chlorophyll-a Concentration,Science Data,L1
TO-DO,,fluorometric_cdom,fluorometric_cdom,PD23,function,,float32,,ppb,-9999999,CDOM Concentration,6,,PFID79,"{""counts_output"":""PD1143"",""counts_dark"":""CC_dark_counts_cdom"",""scale_factor"":""CC_scale_factor_cdom""}",,,CDOMFLO_L1,"Fluorometric CDOM Concentration is a measure of how much light has been re-emitted (fluoresced) from colored organic compounds found in the colored dissolved organic matter (CDOM) in seawater. Examples of CDOM include tannins (polyphenols that bind to proteins and other large molecules) or lignins (polymers of phenolic acids) from decaying plant material and byproducts from the decomposition of animals. It accounts for the tea-like color in seawater. CDOM is not particulate, but seawater can contain both CDOM and turbidity.",Fluorometric CDOM Concentration,Science Data,L1
TO-DO,,total_volume_scattering_coefficient,total_volume_scattering_coefficient,PD24,function,,float32,,m-1 sr-1,-9999999,Total Volume Scattering Coefficient,6,,PFID81,"{""counts_output"":""dpi_FLUBSCT_L0"",""counts_dark"":""CC_dark_counts_volume_scatter"", ""scale_factor"":""CC_scale_factor_volume_scatter""}",FLUBSCT,,FLUBSCT_L1,Total Volume Scattering Coefficient values represent the volume scattering from particles and the molecular scattering from water at a given wavelength of light and the default angle of 117 degrees for the ECO meter.,Total Volume Scattering Coefficient,,L1
TO-DO,,optical_backscatter,optical_backscatter,PD25,function,,float32,,m-1,-9999999,Optical Backscatter,4,,PFID78,"{""beta"":""dpi_FLUBSCT_L1"", ""degC"":[""dpi_TEMPWAT_L1"",""dpi_TEMPSRF_L1""], ""psu"":[""dpi_PRACSAL_L2"",""dpi_SALSURF_L2""], ""theta"":""CC_scattering_angle"", ""wlngth"":""CC_measurement_wavelength"", ""xfactor"":""CC_angular_resolution""}",,,FLUBSCT_L2,"Optical Backscatter (Red Wavelengths) is a measure of the amount of red light (630-740 nm wavelengths) scattered in the backward direction due to suspended matter within seawater, providing a proxy for turbidity and suspended solids.",Optical Backscatter (Red Wavelengths),Science Data,L2
TO-DO,PARAD,input_voltage,input_voltage,PD27,quantity,,float32,,V,-1.00E+08,Instrument Input Voltage,9,FALSE,,,,,,Instrument input voltage.,Instrument Input Voltage,Engineering Data,L0
TO-DO,PARAD,elapsed_time,elapsed_time,PD28,quantity,,float64,,s,-1,Time Since Reset,,,,,,,,,,,
CTD,,pressure_temp,pressure_temp,PD29,quantity,,float32,,degrees_Celsius,-9999,Pressure Sensor Internal Temperature,,,,,,,,"The temperature at the pressure sensor (inside the housing, but isolated from housing and the electronics) used to calculate CTD output parameters.",Pressure Sensor Internal Temperature,Auxiliary Data,L1
TO-DO,,sample_number,sample_number,PD73,quantity,,int32,,count,-9999,Sample Number,0,FALSE,,,,,,,,,
TO-DO,,sample_type,sample_type,PD74,quantity,,string,,1,empty,Sample Type From Instrument,0,,,,,,,"Sample type from instrument, which in this case should always be pressure.",,,
TO-DO,,timestamp,timestamp,PD77,quantity,,string,,1,empty,Timestamp,0,,,,,,,,timestamp,,
PCO2A,CORE,date_time_string,date_time_string,PD93,quantity,,string,,,empty,Date and Time String,0,,,,,,,A date and time string produced for each sample record.,Date and Time,,
TO-DO,PRESF,absolute_pressure,absolute_pressure,PD94,quantity,,float32,,psi,-9999999,Seafloor Pressure,4,,,,,,SFLPRES_L0,Seafloor Pressure is a measurement of the force on the seafloor exerted by the weight of the overlying seawater column plus the weight of the atmosphere (hydrostatic plus atmospheric). This specific instance is the Level 0 unprocessed data product.,Seafloor Pressure,Unprocessed Data,L0
TO-DO,PRESF,seawater_temperature,seawater_temperature,PD742,quantity,,float32,,degrees_Celsius,-9999999,Seawater Temperature,4,,,,,sea_water_temperature,,Seawater temperature near the sensor.,Seawater Temperature,,
TO-DO,PRESF,ptemp_frequency,ptemp_frequency,PD96,quantity,,float32,,Hz,-9999999,Pressure Temperature Frequency,4,,,,,,,,,,
TO-DO,PRESF,n_avg_band,n_avg_band,PD97,quantity,,int16,,1,-9999,Number of Averaging Bands,0,,,,,,,,,,
TO-DO,PRESF,ass_total_variance,ass_total_variance,PD98,quantity,,float32,,m^2,-9999999,Auto-Spectrum Statistics - Total Variance,4,,,,,,,,,,
TO-DO,PRESF,ass_total_energy,ass_total_energy,PD99,quantity,,float32,,J m-1,-9999999,Auto-Spectrum Statistics - Total Energy,4,,,,,,,,,,
TO-DO,PRESF,ass_sig_wave_period,ass_sig_wave_period,PD100,quantity,,float32,,s,-9999999,Auto-Spectrum Statistics - Significant Wave Period,4,,,,,,,,,,
TO-DO,PRESF,ass_sig_wave_height,ass_sig_wave_height,PD101,quantity,,float32,,m,-9999999,Auto-Spectrum Statistics - Significant Wave Height,4,,,,,,,,,,
TO-DO,PRESF,tss_wave_integration_time,tss_wave_integration_time,PD102,quantity,,int16,,s,-9999,Time Series Statistics - Wave Burst Duration,0,,,,,,,,,,
TO-DO,PRESF,tss_number_of_waves,tss_number_of_waves,PD103,quantity,,int16,,1,-9999,Time Series Statistics - Number of Waves,0,,,,,,,,,,
TO-DO,PRESF,tss_total_variance,tss_total_variance,PD104,quantity,,float32,,m^2,-9999999,Time Series Statistics - Total Variance,4,,,,,,,,,,
TO-DO,PRESF,tss_total_energy,tss_total_energy,PD105,quantity,,float32,,J m-2,-9999999,Time Series Statistics - Total Energy,4,,,,,,,,,,
TO-DO,PRESF,tss_avg_wave_height,tss_avg_wave_height,PD106,quantity,,float32,,m,-9999999,Time Series Statistics - Average Wave Height,4,,,,,,,,,,
TO-DO,PRESF,tss_avg_wave_period,tss_avg_wave_period,PD107,quantity,,float32,,s,-9999999,Time Series Statistics - Average Wave Period,4,,,,,,,,,,
TO-DO,PRESF,tss_max_wave_height,tss_max_wave_height,PD108,quantity,,float32,,m,-9999999,Time Series Statistics - Maximum Wave Height,4,,,,,,,,,,
TO-DO,PRESF,tss_sig_wave_height,tss_sig_wave_height,PD109,quantity,,float32,,m,-9999999,Time Series Statistics - Significant Wave Height,4,,,,,,,,,,
TO-DO,PRESF,tss_sig_wave_period,tss_sig_wave_period,PD110,quantity,,float32,,s,-9999999,Time Series Statistics - Significant Wave Period,4,,,,,,,,,,
TO-DO,PRESF,tss_10_wave_height,tss_10_wave_height,PD111,quantity,,float32,,m,-9999999,Time Series Statistics - Average Height of Highest 10% of Waves,4,,,,,,,,,,
TO-DO,PRESF,tss_1_wave_height,tss_1_wave_height,PD112,quantity,,float32,,m,-9999999,Time Series Statistics - Average Height of Highest 1% of Waves,4,,,,,,,,,,
TO-DO,PRESF,firmware_version,firmware_version,PD113,quantity,,string,,1,empty,Firmware Version,0,,,,,,,Firmware Version,,,
TO-DO,PRESF,user_info,user_info,PD115,quantity,,string,,1,empty,User Info,0,,,,,,,,,,
TO-DO,PRESF,quartz_pressure_sensor_serial_number,quartz_pressure_sensor_serial_number,PD116,quantity,,string,,1,empty,Quartz Pressure Sensor Serial Number,0,,,,,,,,,,
TO-DO,PRESF,pressure_sensor_range,pressure_sensor_range,PD117,quantity,,int16,,psi,0,Pressure Sensor Range,0,,,,,,,,,,
TO-DO,PRESF,external_temperature_sensor,external_temperature_sensor,PD118,boolean,,int8,,1,-9,Use External Temperature,0,,,,,,,,,,
TO-DO,PRESF,external_conductivity_sensor,external_conductivity_sensor,PD119,boolean,,int8,,1,-9,Use External Conductivity,0,,,,,,,,,,
TO-DO,PRESF,operational_current,operational_current,PD120,quantity,,float32,,mA,-9999999,Operational Current,1,,,,,,,,,,
TO-DO,PRESF,battery_voltage_main,battery_voltage_main,PD121,quantity,,float32,,V,-9999999,Main Battery Voltage,1,,,,,,,,,,
TO-DO,PRESF,battery_voltage_lithium,battery_voltage_lithium,PD122,quantity,,float32,,V,-9999999,Lithium Battery Voltage,1,,,,,,,,,,
TO-DO,PRESF,last_sample_absolute_press,last_sample_absolute_press,PD123,quantity,,float32,,psi,-9999999,Last Measured Absolute Pressure,4,,,,,,,,,,
TO-DO,PRESF,last_sample_temp,last_sample_temp,PD124,quantity,,float32,,degrees_Celsius,-9999999,Last Measured Temperature,4,,,,,,,,,,
TO-DO,PRESF,tide_measurement_interval,tide_measurement_interval,PD126,quantity,,int16,,min,-9999,Tide Sampling Interval,0,,,,,,,,,,
TO-DO,PRESF,tide_measurement_duration,tide_measurement_duration,PD127,quantity,,int16,,s,-9999,Tide Sampling Duration,0,,,,,,,,,,
TO-DO,PRESF,wave_samples_between_tide_measurements,wave_samples_between_tide_measurements,PD128,quantity,,int16,,1,-9999,Sample Waves Every N Tide Samples,0,,,,,,,,,,
TO-DO,PRESF,wave_samples_per_burst,wave_samples_per_burst,PD129,quantity,,int16,,1,-9999,Wave Samples Per Burst,0,,,,,,,,,,
TO-DO,PRESF,wave_samples_scans_per_second,wave_samples_scans_per_second,PD130,quantity,,float32,,1,-9999999,Scans Per Second,2,,,,,,,,,,
TO-DO,PRESF,wave_samples_duration,wave_samples_duration,PD131,quantity,,float32,,s,-9999999,Wave Sampling Duration,0,,,,,,,,,,
PCO2A,"PCO2A, PRESF",logging_start_time,logging_start_time,PD132,quantity,,string,,,empty,Logging Start Time,0,,,,,,,,Logging Start Time,,
PCO2A,"PCO2A, PRESF",logging_stop_time,logging_stop_time,PD133,quantity,,string,,,empty,Logging Stop Time,0,,,,,,,,Logging Stop Time,,
TO-DO,PRESF,tide_samples_per_day,tide_samples_per_day,PD134,quantity,,int16,,count,-9999,Number of Tide Samples Per Day,0,,,,,,,,,,
TO-DO,PRESF,wave_bursts_per_day,wave_bursts_per_day,PD135,quantity,,int16,,count,-9999,Number of Wave Bursts Per Day,0,,,,,,,,,,
TO-DO,PRESF,memory_endurance,memory_endurance,PD136,quantity,,float32,,days,-9999999,Expected Memory Endurance,1,,,,,,,,,,
TO-DO,PRESF,nominal_alkaline_battery_endurance,nominal_alkaline_battery_endurance,PD137,quantity,,float32,,days,-9999999,Expected Battery Endurance,1,,,,,,,,,,
TO-DO,PRESF,total_recorded_tide_measurements,total_recorded_tide_measurements,PD138,quantity,,int32,,count,-9999999,Total Recorded Tide Measurements,0,,,,,,,,,,
TO-DO,PRESF,total_recorded_wave_bursts,total_recorded_wave_bursts,PD139,quantity,,int32,,count,-9999999,Total Recorded Wave Bursts,0,,,,,,,,,,
TO-DO,PRESF,tide_measurements_since_last_start,tide_measurements_since_last_start,PD140,quantity,,int32,,count,-9999999,Tide Measurements Since Last Start,0,,,,,,,,,,
TO-DO,PRESF,wave_bursts_since_last_start,wave_bursts_since_last_start,PD141,quantity,,int32,,count,-9999999,Wave Bursts Since Last Start,0,,,,,,,,,,
TO-DO,PRESF,tx_tide_samples,tx_tide_samples,PD142,boolean,,int8,,1,-9,Transmit Tide Records in Realtime,0,,,,,,,,,,
TO-DO,PRESF,tx_wave_bursts,tx_wave_bursts,PD143,boolean,,int8,,1,-9,Transmit Wave Records in Realtime,0,,,,,,,,,,
TO-DO,PRESF,tx_wave_stats,tx_wave_stats,PD144,boolean,,int8,,1,-9,Transmit Wave Statistics in Realtime,0,,,,,,,,,,
TO-DO,PRESF,device_status,device_status,PD156,quantity,,string,,1,empty,Device Status,0,,,,,,,,,,
TO-DO,PRESF,logging_status,logging_status,PD157,boolean,,int8,,1,-9,Logging Status,0,,,,,,,,,,
TO-DO,PRESF,calibration_date_pressure,calibration_date_pressure,PD158,quantity,,string,,1,empty,Pressure Calibration Date,0,,,,,,,,,,
TO-DO,PRESF,press_coeff_pu0,press_coeff_pu0,PD159,quantity,,float32,,1,-9999999,Pressure Coefficient U0,6,,,,,,,,,,
TO-DO,PRESF,press_coeff_py1,press_coeff_py1,PD160,quantity,,float32,,1,-9999999,Pressure Coefficient Y1,6,,,,,,,,,,
TO-DO,PRESF,press_coeff_py2,press_coeff_py2,PD161,quantity,,float32,,1,-9999999,Pressure Coefficient Y2,6,,,,,,,,,,
TO-DO,PRESF,press_coeff_py3,press_coeff_py3,PD162,quantity,,float32,,1,-9999999,Pressure Coefficient Y3,6,,,,,,,,,,
TO-DO,PRESF,press_coeff_pc1,press_coeff_pc1,PD163,quantity,,float32,,1,-9999999,Pressure Coefficient C1,6,,,,,,,,,,
TO-DO,PRESF,press_coeff_pc2,press_coeff_pc2,PD164,quantity,,float32,,1,-9999999,Pressure Coefficient C2,6,,,,,,,,,,
TO-DO,PRESF,press_coeff_pc3,press_coeff_pc3,PD165,quantity,,float32,,1,-9999999,Pressure Coefficient C3,6,,,,,,,,,,
TO-DO,PRESF,press_coeff_pd1,press_coeff_pd1,PD166,quantity,,float32,,1,-9999999,Pressure Coefficient D1,6,,,,,,,,,,
TO-DO,PRESF,press_coeff_pd2,press_coeff_pd2,PD167,quantity,,float32,,1,-9999999,Pressure Coefficient D2,6,,,,,,,,,,
TO-DO,PRESF,press_coeff_pt1,press_coeff_pt1,PD168,quantity,,float32,,1,-9999999,Pressure Coefficient T1,6,,,,,,,,,,
TO-DO,PRESF,press_coeff_pt2,press_coeff_pt2,PD169,quantity,,float32,,1,-9999999,Pressure Coefficient T2,6,,,,,,,,,,
TO-DO,PRESF,press_coeff_pt3,press_coeff_pt3,PD170,quantity,,float32,,1,-9999999,Pressure Coefficient T3,6,,,,,,,,,,
TO-DO,PRESF,press_coeff_pt4,press_coeff_pt4,PD171,quantity,,float32,,1,-9999999,Pressure Coefficient T4,6,,,,,,,,,,
TO-DO,PRESF,press_coeff_m,press_coeff_m,PD172,quantity,,float32,,1,-9999999,Pressure Coefficient M,1,,,,,,,,,,
TO-DO,PRESF,press_coeff_b,press_coeff_b,PD173,quantity,,float32,,1,-9999999,Pressure Coefficient B,1,,,,,,,,,,
TO-DO,PRESF,press_coeff_poffset,press_coeff_poffset,PD174,quantity,,float32,,psi,-9999999,Pressure Coefficient Offset,6,,,,,,,,,,
TO-DO,PRESF,calibration_date_temperature,calibration_date_temperature,PD175,quantity,,string,,1,empty,Temperature Calibration Date,0,,,,,,,,,,
TO-DO,PRESF,temp_coeff_ta0,temp_coeff_ta0,PD176,quantity,,float32,,1,-9999999,Temperature Coefficient A0,6,,,,,,,,,,
TO-DO,PRESF,temp_coeff_ta1,temp_coeff_ta1,PD177,quantity,,float32,,1,-9999999,Temperature Coefficient A1,6,,,,,,,,,,
TO-DO,PRESF,temp_coeff_ta2,temp_coeff_ta2,PD178,quantity,,float32,,1,-9999999,Temperature Coefficient A2,6,,,,,,,,,,
TO-DO,PRESF,temp_coeff_ta3,temp_coeff_ta3,PD179,quantity,,float32,,1,-9999999,Temperature Coefficient A3,6,,,,,,,,,,
TO-DO,PRESF,calibration_date_conductivity,calibration_date_conductivity,PD180,quantity,,string,,1,empty,Conductivity Calibration Date,0,,,,,,,,,,
TO-DO,PRESF,cond_coeff_cg,cond_coeff_cg,PD181,quantity,,float32,,1,-9999999,Conductivity Coefficient G,6,,,,,,,,,,
TO-DO,PRESF,cond_coeff_ch,cond_coeff_ch,PD182,quantity,,float32,,1,-9999999,Conductivity Coefficient H,6,,,,,,,,,,
TO-DO,PRESF,cond_coeff_ci,cond_coeff_ci,PD183,quantity,,float32,,1,-9999999,Conductivity Coefficient I,6,,,,,,,,,,
TO-DO,PRESF,cond_coeff_cj,cond_coeff_cj,PD184,quantity,,float32,,1,-9999999,Conductivity Coefficient J,6,,,,,,,,,,
TO-DO,PRESF,cond_coeff_ctcor,cond_coeff_ctcor,PD185,quantity,,float32,,1,-9999999,Conductivity Coefficient TCor,6,,,,,,,,,,
TO-DO,PRESF,cond_coeff_cpcor,cond_coeff_cpcor,PD186,quantity,,float32,,1,-9999999,Conductivity Coefficient PCor,6,,,,,,,,,,
